Location,Category,TimeFrame,DataFormat,Data
Colorado,All Students,2011,Percent,0.03
Colorado,Female Students,2011,Percent,0.028
Colorado,Male Students,2011,Percent,0.032
Colorado,Native American Students,2011,Percent,0.065
Colorado,Asian Students,2011,Percent,0.017
Colorado,Black Students,2011,Percent,0.044
Colorado,Hispanic Students,2011,Percent,0.049
Colorado,White Students,2011,Percent,0.02
Colorado,Native Hawaiian or Other Pacific Islander,2011,Percent,0.029
Colorado,Two or More Races,2011,Percent,0.017
Colorado,All Students,2012,Percent,0.029
Colorado,Asian Students,2012,Percent,0.016
Colorado,Black Students,2012,Percent,0.044
Colorado,Female Students,2012,Percent,0.027
Colorado,Hispanic Students,2012,Percent,0.047
Colorado,Male Students,2012,Percent,0.032
Colorado,Native American Students,2012,Percent,0.054
Colorado,Native Hawaiian or Other Pacific Islander,2012,Percent,0.038
Colorado,Two or More Races,2012,Percent,0.017
Colorado,White Students,2012,Percent,0.019
ACADEMY 20,All Students,2011,Percent,0.002
ACADEMY 20,Female Students,2011,Percent,0.002
ACADEMY 20,Male Students,2011,Percent,0.002
ACADEMY 20,Native American Students,2011,Percent,0
ACADEMY 20,Asian Students,2011,Percent,0
ACADEMY 20,Black Students,2011,Percent,0
ACADEMY 20,Hispanic Students,2011,Percent,0.004
ACADEMY 20,White Students,2011,Percent,0.002
ACADEMY 20,Native Hawaiian or Other Pacific Islander,2011,Percent,0
ACADEMY 20,Two or More Races,2011,Percent,0
ACADEMY 20,All Students,2012,Percent,0.004
ACADEMY 20,Asian Students,2012,Percent,0.007
ACADEMY 20,Black Students,2012,Percent,0.002
ACADEMY 20,Female Students,2012,Percent,0.004
ACADEMY 20,Hispanic Students,2012,Percent,0.006
ACADEMY 20,Male Students,2012,Percent,0.004
ACADEMY 20,Native American Students,2012,Percent,0.036
ACADEMY 20,Native Hawaiian or Other Pacific Islander,2012,Percent,0
ACADEMY 20,Two or More Races,2012,Percent,0
ACADEMY 20,White Students,2012,Percent,0.004
ADAMS COUNTY 14,All Students,2011,Percent,0.072
ADAMS COUNTY 14,Female Students,2011,Percent,0.062
ADAMS COUNTY 14,Male Students,2011,Percent,0.081
ADAMS COUNTY 14,Native American Students,2011,Percent,0.206
ADAMS COUNTY 14,Asian Students,2011,Percent,0.083
ADAMS COUNTY 14,Black Students,2011,Percent,0.08
ADAMS COUNTY 14,Hispanic Students,2011,Percent,0.073
ADAMS COUNTY 14,White Students,2011,Percent,0.058
ADAMS COUNTY 14,Native Hawaiian or Other Pacific Islander,2011,Percent,0
ADAMS COUNTY 14,Two or More Races,2011,Percent,0
ADAMS COUNTY 14,All Students,2012,Percent,0.063
ADAMS COUNTY 14,Asian Students,2012,Percent,0
ADAMS COUNTY 14,Black Students,2012,Percent,0.037
ADAMS COUNTY 14,Female Students,2012,Percent,0.051
ADAMS COUNTY 14,Hispanic Students,2012,Percent,0.066
ADAMS COUNTY 14,Male Students,2012,Percent,0.075
ADAMS COUNTY 14,Native American Students,2012,Percent,0.065
ADAMS COUNTY 14,Native Hawaiian or Other Pacific Islander,2012,Percent,0
ADAMS COUNTY 14,Two or More Races,2012,Percent,0
ADAMS COUNTY 14,White Students,2012,Percent,0.058
AGATE 300,All Students,2011,Percent,0
AGATE 300,Female Students,2011,Percent,0
AGATE 300,Male Students,2011,Percent,0
AGATE 300,Native American Students,2011,Percent,0
AGATE 300,Asian Students,2011,Percent,0
AGATE 300,Black Students,2011,Percent,0
AGATE 300,Hispanic Students,2011,Percent,0
AGATE 300,White Students,2011,Percent,0
AGATE 300,Native Hawaiian or Other Pacific Islander,2011,Percent,0
AGATE 300,Two or More Races,2011,Percent,0
AGATE 300,All Students,2012,Percent,0.091
AGATE 300,Asian Students,2012,Percent,0
AGATE 300,Black Students,2012,Percent,0
AGATE 300,Female Students,2012,Percent,0
AGATE 300,Hispanic Students,2012,Percent,0
AGATE 300,Male Students,2012,Percent,0.2
AGATE 300,Native American Students,2012,Percent,0
AGATE 300,Native Hawaiian or Other Pacific Islander,2012,Percent,0
AGATE 300,Two or More Races,2012,Percent,0
AGATE 300,White Students,2012,Percent,0.125
