Location,TimeFrame,DataFormat,Data
Colorado,2010,Percent,0.724
Colorado,2011,Percent,0.739
Colorado,2012,Percent,0.75354
Colorado,2013,Percent,0.769
Colorado,2014,Percent,0.773
ACADEMY 20,2010,Percent,0.895
ACADEMY 20,2011,Percent,0.895
ACADEMY 20,2012,Percent,0.88983
ACADEMY 20,2013,Percent,0.91373
ACADEMY 20,2014,Percent,0.898
ADAMS COUNTY 14,2010,Percent,0.57
ADAMS COUNTY 14,2011,Percent,0.608
ADAMS COUNTY 14,2012,Percent,0.63372
ADAMS COUNTY 14,2013,Percent,0.59351
ADAMS COUNTY 14,2014,Percent,0.659
AGATE 300,2010,Percent,1
AGATE 300,2011,Percent,0.8
AGATE 300,2012,Percent,0
AGATE 300,2013,Percent,0
AGATE 300,2014,Percent,0
