Location,TimeFrame,DataFormat,Data
AGATE 300,2007,Percent,1
AGATE 300,2006,Percent,#DIV/0!
AGATE 300,2005,Percent,1
AGATE 300,2004,Percent,1
AGATE 300,2008,Percent,1
AGATE 300,2009,Percent,1
AGATE 300,2010,Percent,1
AGATE 300,2011,Percent,1
AGATE 300,2012,Percent,1
AGATE 300,2013,Percent,1
AGATE 300,2014,Percent,1
AKRON R-1,2007,Percent,0
AKRON R-1,2006,Percent,0
AKRON R-1,2005,Percent,0
AKRON R-1,2004,Percent,0
AKRON R-1,2008,Percent,0.84375
AKRON R-1,2009,Percent,0.96
AKRON R-1,2010,Percent,1
AKRON R-1,2011,Percent,1
AKRON R-1,2012,Percent,1
AKRON R-1,2013,Percent,1
AKRON R-1,2014,Percent,1
ARICKAREE R-2,2007,Percent,N/A
ARICKAREE R-2,2006,Percent,0.125
ARICKAREE R-2,2005,Percent,0
ARICKAREE R-2,2004,Percent,1
ARICKAREE R-2,2008,Percent,1
ARICKAREE R-2,2009,Percent,1
ARICKAREE R-2,2010,Percent,1
ARICKAREE R-2,2011,Percent,1
ARICKAREE R-2,2012,Percent,1
ARICKAREE R-2,2013,Percent,1
ARICKAREE R-2,2014,Percent,1
